Date,Currency,Rate
05 May 2017,USD,1.0961
05 May 2017,JPY,123.29
05 May 2017,BGN,1.9558
05 May 2017,CZK,26.781
05 May 2017,DKK,7.4369
05 May 2017,GBP,0.84710
05 May 2017,HUF,311.47
05 May 2017,PLN,4.2173
05 May 2017,RON,4.5470
05 May 2017,SEK,9.6865
05 May 2017,CHF,1.0839
05 May 2017,NOK,9.5023
05 May 2017,HRK,7.4330
05 May 2017,RUB,64.1600
05 May 2017,TRY,3.9054
05 May 2017,AUD,1.4832
05 May 2017,BRL,3.4917
05 May 2017,CAD,1.5094
05 May 2017,CNY,7.5655
05 May 2017,HKD,8.5312
05 May 2017,IDR,14611.01
05 May 2017,ILS,3.9501
05 May 2017,INR,70.5650
05 May 2017,KRW,1251.13
05 May 2017,MXN,20.8874
05 May 2017,MYR,4.7543
05 May 2017,NZD,1.5911
05 May 2017,PHP,54.782
05 May 2017,SGD,1.5402
05 May 2017,THB,38.046
05 May 2017,ZAR,14.8898
